,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
0,1583971200000,2020-03-12 00:00:00,ETHUSD,194.46,194.89,194.46,194.89,0.286203
1,1583971260000,2020-03-12 00:01:00,ETHUSD,194.89,195.45,194.89,195.45,2.507636
2,1583971320000,2020-03-12 00:02:00,ETHUSD,195.45,195.45,194.92,195.11,38.44523
3,1583971380000,2020-03-12 00:03:00,ETHUSD,195.11,195.11,195.11,195.11,0.0
4,1583971440000,2020-03-12 00:04:00,ETHUSD,195.11,195.11,195.11,195.11,0.0
5,1583971500000,2020-03-12 00:05:00,ETHUSD,195.11,195.48,195.11,195.48,4.25
6,1583971560000,2020-03-12 00:06:00,ETHUSD,195.48,195.48,195.11,195.3,113.11881
7,1583971620000,2020-03-12 00:07:00,ETHUSD,195.3,195.3,194.39,194.39,13.664179
8,1583971680000,2020-03-12 00:08:00,ETHUSD,194.39,194.39,194.39,194.39,0.0
9,1583971740000,2020-03-12 00:09:00,ETHUSD,194.39,194.39,194.2,194.2,12.04
10,1583971800000,2020-03-12 00:10:00,ETHUSD,194.2,194.2,193.83,193.83,0.0068
11,1583971860000,2020-03-12 00:11:00,ETHUSD,193.83,193.83,193.64,193.64,110.17142
12,1583971920000,2020-03-12 00:12:00,ETHUSD,193.64,193.75,193.64,193.75,10.4601
13,1583971980000,2020-03-12 00:13:00,ETHUSD,193.75,193.75,193.75,193.75,0.0
14,1583972040000,2020-03-12 00:14:00,ETHUSD,193.75,193.75,193.36,193.42,220.98999
15,1583972100000,2020-03-12 00:15:00,ETHUSD,193.42,194.03,193.42,193.93,18.595645
16,1583972160000,2020-03-12 00:16:00,ETHUSD,193.93,193.93,193.93,193.93,0.0
17,1583972220000,2020-03-12 00:17:00,ETHUSD,193.93,193.93,193.93,193.93,0.0
18,1583972280000,2020-03-12 00:18:00,ETHUSD,193.93,193.93,193.89,193.93,20.54
19,1583972340000,2020-03-12 00:19:00,ETHUSD,193.93,193.93,193.86,193.86,0.310533
20,1583972400000,2020-03-12 00:20:00,ETHUSD,193.86,194.05,193.86,194.05,1.0101
21,1583972460000,2020-03-12 00:21:00,ETHUSD,194.05,194.22,194.05,194.22,12.657095
22,1583972520000,2020-03-12 00:22:00,ETHUSD,194.22,194.22,194.1,194.1,8.011154
23,1583972580000,2020-03-12 00:23:00,ETHUSD,194.1,194.14,194.1,194.14,1.51387
24,1583972640000,2020-03-12 00:24:00,ETHUSD,194.14,194.14,193.95,193.95,21.024133
25,1583972700000,2020-03-12 00:25:00,ETHUSD,193.95,194.09,193.95,194.09,0.68388
26,1583972760000,2020-03-12 00:26:00,ETHUSD,194.09,194.29,193.9,194.18,242.090515
27,1583972820000,2020-03-12 00:27:00,ETHUSD,194.18,194.18,194.04,194.04,15.128755
28,1583972880000,2020-03-12 00:28:00,ETHUSD,194.04,194.11,194.04,194.11,17.115113
29,1583972940000,2020-03-12 00:29:00,ETHUSD,194.11,194.4,194.11,194.38,51.37043
30,1583973000000,2020-03-12 00:30:00,ETHUSD,194.38,194.5,194.38,194.5,9.478822
31,1583973060000,2020-03-12 00:31:00,ETHUSD,194.5,194.5,194.33,194.33,1.34277
32,1583973120000,2020-03-12 00:32:00,ETHUSD,194.33,194.33,193.85,193.9,93.48788
